alpha-2,general,novice,professional
AD,0.05,0.05,0.02
AE,0.0,0.0,0.0
AF,0.0,0.0,0.0
AL,0.01,0.01,0.01
AM,0.08,0.08,0.08
AO,0.06,0.06,0.06
AR,0.05,0.05,0.0005
AT,0.05,0.01,0.01
AU,0.05,0.0,0.02
AZ,0.0,0.0,0.0
BA,0.03,0.0,0.03
BD,0.0,0.0,0.0
BE,0.05,0.05,0.05
BF,0.05,0.05,0.05
BG,0.05,0.05,0.05
BJ,0.05,0.05,0.05
BO,0.05,0.05,0.05
BR,0.0,0.0,0.0
BS,0.08,0.08,0.08
BT,0.08,0.0,0.0
BW,0.05,0.05,0.05
BY,0.03,0.03,0.03
BZ,0.08,0.08,0.08
CA,0.08,0.08,0.08
CF,0.08,0.08,0.08
CG,0.08,0.08,0.08
CH,0.05,0.01,0.01
CK,0.08,0.08,0.08
CL,0.03,0.03,0.03
CM,0.08,0.08,0.08
CN,0.02,0.02,0.02
CO,0.02,0.02,0.02
CR,0.05,0.02,0.02
CU,0.01,0.01,0.01
CV,0.08,0.08,0.08
CY,0.05,0.02,0.02
CZ,0.0,0.0,0.0
DE,0.05,0.0,0.0
DJ,0.0,0.0,0.0
DK,0.05,0.05,0.05
DM,0.08,0.08,0.08
DO,0.05,0.05,0.0
DZ,0.02,0.02,0.02
EC,0.03,0.03,0.01
EE,0.02,0.02,0.02
ER,0.05,0.05,0.03
ES,0.05,0.03,0.03
ET,0.08,0.08,0.08
FI,0.05,0.05,0.05
FJ,0.08,0.0,0.0
FR,0.05,0.02,0.02
GA,0.08,0.08,0.08
GE,0.03,0.03,0.03
GH,0.08,0.08,0.08
GN,0.08,0.08,0.08
GQ,0.05,0.05,0.05
GR,0.05,0.02,0.02
GY,0.08,0.08,0.08
HN,0.07,0.07,0.07
HR,0.05,0.0,0.0
HU,0.0,0.0,0.0
IE,0.05,0.02,0.02
IL,0.05,0.01,0.01
IN,0.03,0.03,0.03
IQ,0.04,0.04,0.04
IR,0.0,0.0,0.0
IS,0.05,0.05,0.05
IT,0.05,0.0,0.0
JM,0.08,0.08,0.08
JO,0.08,0.08,0.08
JP,0.03,0.03,0.03
KE,0.08,0.08,0.08
KH,0.05,0.05,0.05
KI,0.08,0.08,0.08
KN,0.08,0.08,0.08
KZ,0.0,0.0,0.0
LA,0.05,0.05,0.05
LB,0.05,0.0,0.0
LC,0.08,0.08,0.08
LK,0.08,0.08,0.08
LS,0.08,0.08,0.08
LT,0.04,0.0,0.0
LU,0.05,0.02,0.02
LV,0.05,0.02,0.05
MA,0.02,0.02,0.02
MC,0.02,0.02,0.02
MD,0.03,0.03,0.03
ME,0.03,0.03,0.03
MG,0.04,0.04,0.04
MK,0.05,0.0,0.0
ML,0.03,0.03,0.03
MM,0.08,0.08,0.08
MN,0.05,0.05,0.05
MR,0.0,0.0,0.0
MT,0.08,0.08,0.08
MU,0.05,0.05,0.05
MV,0.0,0.0,0.0
MW,0.08,0.08,0.08
MY,0.08,0.08,0.08
MZ,0.06,0.06,0.0
NA,0.08,0.08,0.08
NG,0.08,0.08,0.08
NI,0.05,0.05,0.02
NL,0.05,0.02,0.05
NO,0.02,0.02,0.02
NZ,0.05,0.0,0.05
OM,0.08,0.08,0.08
PA,0.05,0.05,0.05
PE,0.05,0.05,0.03
PH,0.05,0.05,0.05
PK,0.0,0.0,0.0
PL,0.02,0.02,0.02
PT,0.05,0.02,0.02
PW,0.1,0.1,0.1
PY,0.0,0.0,0.0
RO,0.0,0.0,0.0
RS,0.03,0.0,0.0
RU,0.04,0.04,0.04
RW,0.08,0.08,0.08
SA,0.0,0.0,0.0
SC,0.08,0.08,0.08
SD,0.0,0.0,0.0
SE,0.02,0.02,0.02
SG,0.08,0.08,0.08
SI,0.05,0.0,0.0
SK,0.0,0.0,0.0
SM,0.05,0.05,0.05
SO,0.0,0.0,0.0
SR,0.05,0.05,0.05
SV,0.05,0.05,0.05
SZ,0.04,0.04,0.04
TD,0.08,0.08,0.08
TH,0.05,0.05,0.05
TJ,0.03,0.03,0.03
TL,0.05,0.05,0.05
TM,0.03,0.03,0.03
TN,0.05,0.05,0.05
TO,0.03,0.03,0.03
TT,0.08,0.08,0.08
TZ,0.08,0.08,0.08
UA,0.02,0.02,0.02
UG,0.08,0.08,0.08
US,0.08,,0.04
UY,0.0,0.0,0.0
UZ,0.0,0.0,0.0
VE,0.08,0.08,0.08
VN,0.0,0.0,0.0
WS,0.04,0.04,0.04
YE,0.0,0.0,0.0
ZA,0.05,0.05,0.02
ZM,0.08,0.08,0.08
ZW,0.08,0.08,0.08
